ts_code,symbol,name,area,industry
WSM,WSM,"Williams-Sonoma, Inc.",US,Consumer Discretionary
WMB,WMB,Williams Companies,US,Energy
WTW,WTW,Willis Towers Watson,US,Financials
WDAY,WDAY,"Workday, Inc.",US,Information Technology
WYNN,WYNN,Wynn Resorts,US,Consumer Discretionary
XEL,XEL,Xcel Energy,US,Utilities
XYL,XYL,Xylem Inc.,US,Industrials
YUM,YUM,Yum! Brands,US,Consumer Discretionary
ZBRA,ZBRA,Zebra Technologies,US,Information Technology
ZBH,ZBH,Zimmer Biomet,US,Health Care
ZTS,ZTS,Zoetis,US,Health Care
ALNY,ALNY,Unknown,US,Unknown
ARM,ARM,Unknown,US,Unknown
ASML,ASML,Unknown,US,Unknown
CCEP,CCEP,Unknown,US,Unknown
FER,FER,Unknown,US,Unknown
INSM,INSM,Unknown,US,Unknown
MRVL,MRVL,Unknown,US,Unknown
MELI,MELI,Unknown,US,Unknown
MSTR,MSTR,Unknown,US,Unknown
PDD,PDD,Unknown,US,Unknown
SHOP,SHOP,Unknown,US,Unknown
TRI,TRI,Unknown,US,Unknown
ZS,ZS,Unknown,US,Unknown
NOK,NOK,Nokia Oyj,US,Unknown
POET,POET,POET Technologies Inc.,US,Unknown
PLUG,PLUG,Plug Power Inc.,US,Unknown
QS,QS,QuantumScape Corporation,US,Unknown
WU,WU,The Western Union Company,US,Unknown
MARA,MARA,"MARA Holdings, Inc.",US,Unknown
NVTS,NVTS,Navitas Semiconductor Corporation,US,Unknown
ONDS,ONDS,Ondas Inc.,US,Unknown
AAL,AAL,American Airlines Group Inc.,US,Unknown
HIMS,HIMS,"Hims & Hers Health, Inc.",US,Unknown
IREN,IREN,IREN Limited,US,Unknown
GRAB,GRAB,Grab Holdings Limited,US,Unknown
SOFI,SOFI,"SoFi Technologies, Inc.",US,Unknown
WULF,WULF,TeraWulf Inc.,US,Unknown
OPEN,OPEN,Opendoor Technologies Inc.,US,Unknown
EOSE,EOSE,"Eos Energy Enterprises, Inc.",US,Unknown
APLD,APLD,Applied Digital Corporation,US,Unknown
CRWV,CRWV,"CoreWeave, Inc.",US,Unknown
BTG,BTG,B2Gold Corp.,US,Unknown
SMR,SMR,NuScale Power Corporation,US,Unknown
CNQ,CNQ,Canadian Natural Resources Limited,US,Unknown
SNAP,SNAP,Snap Inc.,US,Unknown
OGN,OGN,Organon & Co.,US,Unknown
RIG,RIG,Transocean Ltd.,US,Unknown
MXL,MXL,"MaxLinear, Inc.",US,Unknown
CIFR,CIFR,Cipher Digital Inc.,US,Unknown
SOUN,SOUN,"SoundHound AI, Inc.",US,Unknown
ABEV,ABEV,Ambev S.A.,US,Unknown
CLSK,CLSK,"CleanSpark, Inc.",US,Unknown
VALE,VALE,Vale S.A.,US,Unknown
BMNR,BMNR,"Bitmine Immersion Technologies, Inc.",US,Unknown
VG,VG,"Venture Global, Inc.",US,Unknown
OWL,OWL,Blue Owl Capital Inc.,US,Unknown
BTE,BTE,Baytex Energy Corp.,US,Unknown
BBD,BBD,Banco Bradesco S.A.,US,Unknown
NVO,NVO,Novo Nordisk A/S,US,Unknown
OKLO,OKLO,Oklo Inc.,US,Unknown
QBTS,QBTS,D-Wave Quantum Inc.,US,Unknown
RKLB,RKLB,Rocket Lab Corporation,US,Unknown
INFY,INFY,Infosys Limited,US,Unknown
JOBY,JOBY,"Joby Aviation, Inc.",US,Unknown
RIVN,RIVN,"Rivian Automotive, Inc.",US,Unknown
RIOT,RIOT,"Riot Platforms, Inc.",US,Unknown
